Species,Plural,Adjective,Stars,Homeworlds,Fleet Names,Ground Armies
Elyran,Elyrans,Elyran,Aetharis,Crait,Battlegroup Leviathan,Automated Defense Force
Vaelari,Vaelari,Vaelarian,Elythar,Vardos,Battlegroup Hyperion,Tactical Defense Unit
Theryn,Theryns,Therynic,Kyrath,Demeter,Battlegroup Orion,Synthetic Defense Unit
Aelari,Aelari,Aelarian,Erydon,Tanalorr,Battlegroup Obsidian,Steel Guard
Caelari,Caelari,Caelarian,Talyon,Typhon,Battlegroup Hydra,Planetary Watch
Ceryth,Ceryths,Cerythic,Asteris,Callisto,Battlegroup Maelstrom,Shield Corps
Elarin,Elarins,Elarin,Rhaelor,Kalyke,Battlegroup Vanguard,Groundwarden
Ilyari,Ilyari,Ilyarian,Ilythos,Aurora,Battlegroup Eclipse,Bulwark Division
Kaelith,Kaeliths,Kaelithic,Vaeron,Ilum,Battlegroup Infinity,Nova Corps
Kethari,Kethari,Ketharian,Cerythos,Kapella,Battlegroup Tempest,Fireteam Tempest
Maelari,Maelari,Maelarian,Cyralis,Meridian,Strikeforce Spear,Mindfire Legion
Rhaeli,Rhaeli,Rhaelian,Itherys,Mythos,Strikeforce Typhon,Xeno Warfare Division
Soryth,Soryths,Sorythic,Kaelor,Kyros,Strikeforce Kraken,Revenant Force
Velyran,Velyrans,Velyran,Nyralis,Ilios,Strikeforce Chimera,Clone Trooper Corps
Ithari,Ithari,Itharian,Vaethis,Axiom,Strikeforce Umbra,Hunter Killer Unit
Xandari,Xandari,Xandarian,Calyth,Kythera,Strikeforce Keres,Autonomous Defense Unit
