Male First Names,Female First Names,Second Names,,Male Regnal First Names,Female Regnal First Names,Regnal Second Names
Aren,Aria,Valeris,,Aleron,Aelyra,Valecor
Calen,Lyra,Kaelorn,,Aurek,Aurelia,Caelorn
Darik,Vela,Soryn,,Caelor,Calyra,Teryndor
Joren,Nyra,Tavrek,,Edrik,Elaria,Loraven
Kael,Kira,Orendis,,Daarion,Elaryn,Talvaren
Larek,Alara,Halvek,,Maeron,Ilyra,Vaelorn
Maren,Selene,Cindral,,Rhaelor,Kaerith,Ardelon
Rykon,Varyx,Telmar,,Theron,Lyssara,Otharyn
Sethis,Talia,Telmar,,Tiberan,Maerith,Maerion
Torin,Elira,Avenor,,Vaelor,Naelyra,Delyran
Varek,Rynna,Kordane,,Valen,Rhaelis,Corvane
Xalen,Saren,Myrix,,Varek,Selene,Galvaren
Yorin,Kaela,Selvar,,Xeran,Thalysse,Eryndor
Zarek,Liora,Rendak,,Zarek,Valora,Merovan
Bren,Vanya,Ithran,,Asteron,Varessa,Ravaryn
Korin,Avelin,Calrix,,Corven,Velyra,Darevon
Neris,Corin,Vorren,,Tarek,Zarelia,Kestran
Talek,Jessa,Elyndar,,Rovan,Eryssa,Veyrath
Vorik,Myria,Zorath,,Aethon,Avelira,Zoraven
Eron,Zella,Nexen,,Valeron,Xylaris,Xandaren
Aedan,Talyn,Arvane,,,,
Jax,Keira,Belcor,,,,
Kalen,Orla,Cyrene,,,,
Rorin,Brena,Daxor,,,,
Tavon,Syren,Elvryn,,,,
Xarik,Arelia,Ferosk,,,,
Zalen,Calyra,Galren,,,,
Kyro,Seris,Havrix,,,,
