Fleet Names,Machine Defense,Defense Army,Assault Army,Slave Army,Clone Army,Perfected Clone Army,Undead Army,Robotic Army,Robotic Defense Army,Psionic Army,Xenomorph Army,Occupation Army,Individual Machine Occupation Army,Robotic Occupation Army,Primitive Army,Industrial Army,Post Atomic Army,Warpling Army,Ember Legion,Imbued Army,Abomination Army,Wilderness Pre Sapient Defense Army,Wilderness Pre Sapient Assault Army,Machine Assault 1,Machine Assault 2,Machine Assault 3,Gene Warrior Army
Battlegroup Leviathan,Automated Defense Force,Planetary Honorguard,Planetary Invasion Force,Indentured Service Corps,Clone Trooper Corps,Clone Commando Group,Revenant Force,Hunter Killer Unit,Autonomous Defense Unit,Mindfire Legion,Xeno Warfare Division,Planetary Stability Force,Machine Planetary Stability Force,Automated Security Force,Tribal Militia,Early Rifle Corps,Post Atomic Corps,Warpling Army,Cinder Battalion,Arcane Legion,Aberrant Legion,Feral Defense Pack,Feral Assault Pack,Automated Expeditionary Force,Mechanized Expeditionary Force,Advanced Expeditionary Force,Reapers
Battlegroup Hyperion,Tactical Defense Unit,Home Guard,Vanguard Corps,Penal Legion,Echo Legion,Omega Group,Grave Legion,Combat Unit Alpha,Tactical Defense Group,Astral Guard,Chimera Corps,Compliance Division,Planetary Control Unit,Steel Compliance Group,Warrior Band,Grand Rifle Corps,Strategic Nuclear Force,Warpborn,Ashen Legion,Radiant Legion,Forsaken,Briar Guard,Wild Hunt,Combat Directive Group,Advanced Combat Group,Apex Combat Group,Ghosts
Battlegroup Orion,Synthetic Defense Unit,Bastion Guard,Storm Battalion,Conscript Legion,Gemini Battalion,Omega Division,Pale Host Corps,Steel Legion,Defense Frame Corps,Dreamwalker Legion,Apex Group,Occupation Authority,Steel Compliance Corps,Steel Control Force,Tribal Guard,Ironclad Regiment,Minutemen,Riftspawn,Ember Guard,Transcendent Guard,Unmade,Thornwardens,Briar Legion,Tactical Assault Unit,Autonomous Battle Group,Prime Assault Group,Widowmakers
Battlegroup Obsidian,Steel Guard,Planetary Watch,Spearhead Corps,Compliance Corps,Echo Battalion,Alpha Battle Group,Silent Dread Legion,Autonomous Combat Division,Synthetic Defense Group,Mindwarden Legion,Predator Battle Group,Pacification Corps,Tactical Occupation Corps,Automated Pacification Division,Spear Guard,,,Voidlings,Pyre Legion,Chosen Legion,Wretched,,,Tactical Deployment Force,Strategic Assault Unit,Strategic Eradication Force,Stalkers
Battlegroup Hydra,Tactical Defense Guard,Shield Corps,Forward Legion,Expendable Battalion,Echo Battle Group,Raptor Company,Graveborn Battalion,Synthetic Battle Group,Tactical Response Group,Soulguard Corps,Stalker Division,Stability Command Group,,,Shield Host,,,Twisted Legion,Cinder Guard,,Unbound Horrors,,,,,,Spectres
Battlegroup Maelstrom,,Citadel Guard,Breach Battalion,Indentured Corps,Shock Battle Group,Havoc Battlalion,Forsaken Legion,Combat Frame Corps,Steel Defense Legion,Veilbreaker Legion,,Planetary Control Force,,,Warband,,,Breachspawn,Ashwalkers,,,,,,,,Wraiths
Battlegroup Vanguard,,Groundwarden,Shock Brigade,Servile Battalion,Chimera Battalion,Starhawk Company,,Tactical Machine Group,,Ascendant Corps,,Civil Order Division,,,King's Guard,,,,Scorched Battle Group,,,,,,,,Phantoms
Battlegroup Eclipse,,Bulwark Division,,,Nova Corps,Fireteam Tempest,,Mechanized Response Force,,Shroudwarden Battle Group,,Territorial Authority,,,Battle Company,,,,Inferno Division,,,,,,,,Spirits
Battlegroup Infinity,,,,,Pathfinder Division,Fireteam Noble,,,,Shroudtouched Legion,,,,,,,,,,,,,,,,,Shadows
Battlegroup Tempest,,,,,Shock Battalion,Fireteam Saber,,,,Awakened Battalion,,,,,,,,,,,,,,,,,Voidwalkers
Strikeforce Spear,,,,,Tempest Battle Group,Shadow Squad,,,,Mindspear Division,,,,,,,,,,,,,,,,,Nighthawks
Strikeforce Typhon,,,,,,Phantom Corps,,,,Ethereal Guard,,,,,,,,,,,,,,,,,Alpha
Strikeforce Kraken,,,,,,Wraith Company,,,,,,,,,,,,,,,,,,,,,Delta
Strikeforce Chimera,,,,,,Eclipse Battalion,,,,,,,,,,,,,,,,,,,,,Gamma
Strikeforce Umbra,,,,,,Ghost Division,,,,,,,,,,,,,,,,,,,,,Omega
Strikeforce Keres,,,,,,Obisidian Squad,,,,,,,,,,,,,,,,,,,,,Banshees
Strikeforce Astraea,,,,,,,,,,,,,,,,,,,,,,,,,,,Nightfall
Strikeforce Paladin,,,,,,,,,,,,,,,,,,,,,,,,,,,Hollowmen
Strikeforce Fulcrum,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Operations Group
Strikeforce Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,Nightstalkers
Defense Group Aegis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Warden,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Redoubt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Overwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Longwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Meridian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Resolve,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Axiom,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Anvil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strikeforce Wyvern,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlegroup Valiant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlegroup Dauntless,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strikeforce Starfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taskforce Nightfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taskforce Longspear,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strikeforce Pathfinder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlegroup Cerberus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taskforce Lodestar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taskforce Meridian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taskforce Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Sentinel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Group Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invictus Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascendant Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbroken Armada,,,,,,,,,,,,,,,,,,,,,,,,,,,
