Male First Names,Female First Names,Second Names,Male Regnal First Names,Female Regnal First Names,Regnal Second Names
Aren,Aria,Valeris,Aleron,Aelyra,Valecor
Calen,Lyra,Kaelorn,Aurek,Aurelia,Caelorn
Darik,Vela,Soryn,Caelor,Calyra,Teryndor
Joren,Nyra,Tavrek,Edrik,Elaria,Loraven
Kael,Kira,Orendis,Daarion,Elaryn,Talvaren
Larek,Alara,Halvek,Maeron,Ilyra,Vaelorn
Maren,Selene,Cindral,Rhaelor,Kaerith,Ardelon
Rykon,Maris,Varyx,Theron,Lyssara,Otharyn
Sethis,Talia,Telmar,Tiberan,Maerith,Maerion
Torin,Elira,Avenor,Vaelor,Naelyra,Delyran
Varek,Rynna,Kordane,Valen,Rhaelis,Corvane
Xalen,Saren,Myrix,Varek,Selene,Galvaren
Yorin,Kaela,Selvar,Xeran,Thalysse,Eryndor
Zarek,Liora,Rendak,Zarek,Valora,Merovan
Bren,Vanya,Ithran,Asteron,Varessa,Ravaryn
Korin,Avelin,Calrix,Corven,Velyra,Darevon
Neris,Corin,Vorren,Tarek,Zarelia,Kestran
Talek,Jessa,Elyndar,Rovan,Eryssa,Veyrath
Vorik,Myria,Zorath,Aethon,Avelira,Zoraven
Eron,Zella,Nexen,Valeron,Xylaris,Xandaren
Aedan,Talyn,Arvane,,,
Jax,Keira,Belcor,,,
Kalen,Orla,Cyrene,,,
Rorin,Brena,Daxor,,,
Tavon,Syren,Elvryn,,,
Xarik,Arelia,Ferosk,,,
Zalen,Calyra,Galren,,,
Kyro,Seris,Havrix,,,
Darion,Velora,Ilyor,,,
Selik,Nyssia,Jexan,,,
Varon,Lirien,Kalyre,,,
Nox,Halene,Lorcan,,,
Elric,Kalyne,Mavrek,,,
Jarek,Sorya,Noryx,,,
Orin,Meriel,Othrel,,,
Talor,Anara,Pryxis,,,
Bryn,Delyra,Quelor,,,
Kavos,Vaelis,Ravenn,,,
Merek,Eryssa,Sylar,,,
Iren,Thalya,Virell,,,
Zorin,Isolde,Aurelion,,,
Halon,Rhaena,Brax,,,
Keiran,Selora,Caedryn,,,
Vex,Zynara,Dornal,,,
Ralon,Alyxen,Erixane,,,
Soren,Elowen,Falcorin,,,
Taryn,Kaerith,Gravex,,,
Corin,Lyssara,Halaris,,,
Yex,Maribel,Iskand,,,
Arix,Orithia,Joravel,,,
Lukan,Talyra,Kenth,,,
Paxon,Venara,Loryssan,,,
Jorin,Cirelle,Marrex,,,
Nex,Neryssa,Nethorin,,,
Theron,Halcyra,Ossyr,,,
Kato,Amandra,Praelor,,,
Riven,Caelith,Quintrex,,,
Xorin,Daryssa,Rhazel,,,
Amon,Ilysera,Talorinex,,,
Belik,Kessara,Vandoril,,,
Cadan,Luminel,Antillesque,,,
Daxen,Myrrine,Calriss,,,
Eryk,Norithe,Dameron,,,
