Climate Zone,Core Planet Biome,PD Regional Variant,Designation Variant Alpha,Designation Variant Beta,Designation Variant Gamma,Designation Variant Delta
WET,Continental,Retinal,Iris,Aurora,Auralis,Kaleido
WET,Continental,Lake,Halea,Eden,Haven,Harmony
WET,Continental,Forest,Verdant,Sylvaris,Harvest,Veridian
WET,Continental,Tepid,Eden,Harmonis,Harmony,Haven
WET,Ocean,Mushroom,Myrkr,Iskera,Soryth,Karkaris
WET,Ocean,Sakura,Halea,Aurelia,Ephyra,Berylia
WET,Ocean,Moss,Verdant,Sylvaris,Veridian,Myrkr
WET,Ocean,Marsh,Tigris,Estuary,Varuna,Iskera
WET,Ocean,Carotene,Surtr,Phaeton,Pyr,Aurora
WET,Ocean,Petrified,Tarren,Kessel,Myrkr,Volund
WET,Ocean,Megaflora,Verdant,Lotus,Sylvaris,Harvest
WET,Ocean,Cascadian,Targea,Thalassa,Pelagos,Estuary
WET,Ocean,Swamp,Tigris,Estuary,Varuna,Iskera
WET,Ocean,Crag,Crait,Targea,Vardos,Seatos
WET,Ocean,Fog,Myrkr,Soryth,Seatos,Nocturne
WET,Ocean,Kelp,Thalassa,Pelagos,Varuna,Seatos
WET,Ocean,Algae,Thalassa,Pelagos,Varuna,Maris
WET,Ocean,Columnar,Kessel,Kharon,Vardos,Atlas
WET,Ocean,Tidepool,Estuary,Seatos,Ephyra,Kythera
WET,Ocean,Barnacle,Kraken,Leviathan,Aegir,Bathys
WET,Ocean,Reef,Thalassa,Pelagos,Seatos,Varuna
WET,Ocean,Archipelago,Thalassa,Pelagos,Estuary,Oasis
WET,Ocean,Atoll,Halea,Eden,Oasis,Thalassa
WET,Tropical,Tepui,Targea,Atlas,Archer,Kydon
WET,Tropical,Mangrove,Estuary,Varuna,Iskera,Maris
WET,Tropical,Cenote,Oasis,Kessel,Abyr,Kharon
WET,Tropical,Fungal,Myrkr,Iskera,Soryth,Karkaris
WET,Tropical,Aerial,Eyrie,Aerius,Caelis,Aetheris
WET,Tropical,Lilypad,Lotus,Halea,Varuna,Ilara
WET,Tropical,Obsidian,Surtr,Pyr,Kharon,Typhon
WET,Tropical,Thunder,Tempest,Phaeton,Iris,Pyr
WET,Tropical,Geothermal,Surtr,Iris,Pyr,Typhon
WET,Tropical,Bioluminescent,Aurora,Pyr,Haven,Mesa
DRY,Desert,Dune,Surtr,Haven,Mesa,Targea
DRY,Desert,Oasis,Eden,Mesa,Iskera,Tarren
DRY,Desert,Outback,Tawka,Targea,Crait,Pelagos
DRY,Desert,Coastal,Halea,Iskera,Tigris,Karkaris
DRY,Desert,Fungi,Myrkr,Crait,Scarif,Mesa
DRY,Desert,Ironsand,Surtr,Tigris,Caelis,Baran
DRY,Desert,Cactus,Tawka,Scarif,Bathys,Tanalorr
DRY,Desert,Dust,Crait,Caelis,Eden,Xanthalis
DRY,Desert,Sodalite,Abyr,Bathys,Crait,Seatos
DRY,Desert,Salt,Crait,Eden,Byss,Estuary
DRY,Desert,Aquifer,Oasis,Crait,Arcadia,Baran
DRY,Arid,Mesa,Mesa,Byss,Scarif,Soryth
DRY,Arid,Fog Desert,Myrkr,Arcadia,Lotus,Athena
DRY,Arid,Mediterranean,Laconia,Scarif,Zypher,Tanalorr
DRY,Arid,Badlands,Crait,Lotus,Belyra,Verdan
DRY,Arid,Succulent,Verdant,Zypher,Aurora,Galavex
DRY,Arid,Striped,Tigris,Belyra,Verdant,Krysolis
DRY,Arid,Amethyst,Auralis,Aurora,Pelagos,Caelis
DRY,Arid,Opal,Iris,Verdant,Tyran,Sylvaris
DRY,Arid,Superbloom,Lotus,Pelagos,Baran,Varuna
DRY,Savannah,Coral,Thalassa,Tyran,Reach,Kraken
DRY,Savannah,Primal,Surtr,Baran,Baran,Harvest
DRY,Savannah,Steppe,Tigris,Baran,Verdant,Verdant
DRY,Savannah,Prairie,Harvest,Verdant,Mesa,Tarren
DRY,Savannah,Semi-Arid,Mesa,Mesa,Aurora,Sylvan
DRY,Savannah,Aspen,Sylvaris,Verdant,Caelis,Tanalorr
DRY,Savannah,Sandstone,Crait,Mesa,Tempest,Caelis
DRY,Savannah,Turquoise,Iris,Aurora,Reach,Krysolis
DRY,Savannah,Calcite,Kessel,Caelis,Laconia,Cyclonis
DRY,Savannah,Monsoon,Tigris,Tempest,Abyr,Verdan
DRY,Savannah,Silvergrass,Tarren,Reach,Crait,Atlas
DRY,Savannah,Supercontinental,Tigris,Laconia,Ilum,Orcus
COLD,Arctic,Sinkhole,Kessel,Abyr,Glacien,Crythe
COLD,Arctic,Cold Desert,Ilum,Crait,Glacien,Nivalis
COLD,Arctic,Glacial,Glacien,Ilum,Zephryon,Nivalis
COLD,Arctic,Antarctic,Glacien,Ilum,Glacien,Vortexos
COLD,Arctic,Aeolian,Zypher,Zephryon,Crythe,Arctis
COLD,Arctic,Ice Spike,Crythe,Glacien,Glacien,Rhenvar
COLD,Arctic,Crevasse,Glacien,Crythe,Ilum,Nivalis
COLD,Arctic,Ice Dune,Ilum,Glacien,Fyrix,Baffin
COLD,Arctic,Supraglacial Lakes,Glacien,Ilum,Zypher,Thermalis
COLD,Arctic,Ferrospring,Volund,Glacien,Glacien,Cyclonis
COLD,Arctic,Storm,Tempest,Volund,Myrkr,Crythe
COLD,Arctic,Iceberg,Baffin,Tempest,Ilum,Soryth
COLD,Alpine,Boreal,Sylvaris,Baffin,Atlas,Eyrie
COLD,Alpine,Snow,Glacien,Sylvaris,Iskera,Targea
COLD,Alpine,Highland,Eyrie,Glacien,Thalassa,Sylvaris
COLD,Alpine,Dune Forest,Myrkr,Eyrie,Ephyra,Eyrie
COLD,Alpine,Fjord,Aegir,Myrkr,Iskera,Berylia
COLD,Alpine,Blossom,Aurelia,Atlas,Volund,Sylvaris
COLD,Alpine,Taiga,Myrkr,Crait,Targea,Kordis
COLD,Alpine,Craton,Atlas,Surtr,Pyr,Kharon
COLD,Alpine,Ravine,Crait,Volund,Fyrix,Ilum
COLD,Alpine,Glaciovolcanic,Surtr,Myrkr,Iskera,Kvantum
COLD,Tundra,Lanthanide,Volund,Myrkr,Iskera,Estuary
COLD,Tundra,Bog,Myrkr,Tigris,Estuary,Sarkosis
COLD,Tundra,Mycelium,Myrkr,Surtr,Pyr,Soryth
COLD,Tundra,Mud,Tigris,Surtr,Pyr,Kharon
COLD,Tundra,Basalt,Surtr,Crythe,Glacien,Typhon
COLD,Tundra,Tuya,Surtr,Sylvaris,Myrkr,Nivalis
COLD,Tundra,Cryovolcano,Crythe,Myrkr,Iskera,Soryth
COLD,Tundra,Treeline,Sylvaris,Caelis,Xylos,Estuary
COLD,Tundra,Peatland,Myrkr,Glacien,Nivalis,Crucius
COLD,Tundra,Travertine,Caelis,Myrkr,Iskera,Berylia
COLD,Tundra,Cryoflora,Glacien,Surtr,Phaeton,Vervain
CAVERN,Gaia Cavern,Wet Cavern,Eden,Eden,Verdant,Oxum
CAVERN,Gaia Cavern,Dry Cavern,Eden,Arcadia,Arcadia,Karkaris
CAVERN,Gaia Cavern,Cold Cavern,Eden,Scarif,Kessel,Crythe
CAVERN,Gaia Cavern,Gaia Cavern,Abyr,Lotus,Kessel,Arcadia
CAVERN,Gaia Cavern,Barren Cavern,Abyr,Zypher,Myrkr,Byss
CAVERN,Gaia Cavern,Nuked Cavern,Abyr,Belyra,Haven,Exolok
SUPERHABITABLE,Superhabitable,Wet Superhabitable,Verdant,Pelagos,Pelagos,Harvest
SUPERHABITABLE,Superhabitable,Dry Superhabitable,Prosperis,Tyran,Tyran,Verdant
SUPERHABITABLE,Superhabitable,Cold Superhabitable,Prosperis,Baran,Baran,Tarren
SUPERHABITABLE,Superhabitable,Gaia Superhabitable,Eden,Reach,Verdant,Sylvan
TIDALLY LOCKED,Tidally Locked,Wet Tidally Locked,Atlas,Baran,Mesa,Tanalorr
TIDALLY LOCKED,Tidally Locked,Dry Tidally Locked,Leviathan,Verdant,Aurora,Caelis
TIDALLY LOCKED,Tidally Locked,Cold Tidally Locked,Leviathan,Mesa,Caelis,Krysolis
TIDALLY LOCKED,Tidally Locked,Gaia Tidally Locked,Atlas,Aurora,Tempest,Cyclonis
