Climate Zone,Core Planet Biome,Planet Variant,Planet Name
WET,Continental,Retinal,Iris
WET,Continental,Retinal,Aurora
WET,Continental,Retinal,Auralis
WET,Continental,Retinal,Kaleido
WET,Continental,Retinal,Lucent
WET,Continental,Retinal,Opaline
WET,Continental,Retinal,Celestria
WET,Continental,Retinal,Berylia
WET,Continental,Retinal,Xanthalis
WET,Continental,Retinal,Mizra
WET,Continental,Lake,Halea
WET,Continental,Lake,Eden
WET,Continental,Lake,Haven
WET,Continental,Lake,Harmony
WET,Continental,Lake,Demeter
WET,Continental,Lake,Gaea
WET,Continental,Lake,Varuna
WET,Continental,Lake,Elara
WET,Continental,Lake,Rhea
WET,Continental,Lake,Ilara
WET,Continental,Lake,Erilla
WET,Continental,Lake,Oura
WET,Continental,Lake,Genevah
WET,Continental,Lake,Lochsa
WET,Continental,Forest,Verdant
WET,Continental,Forest,Sylvaris
WET,Continental,Forest,Harvest
WET,Continental,Forest,Veridian
WET,Continental,Forest,Verdan
WET,Continental,Forest,Tanalorr
WET,Continental,Forest,Myrkr
WET,Continental,Forest,Iskera
WET,Continental,Forest,Soryth
WET,Continental,Forest,Sylvan
WET,Continental,Forest,Alder
WET,Continental,Forest,Vervain
WET,Continental,Forest,Pinenia
WET,Continental,Forest,Arken
WET,Continental,Forest,Hatteras
WET,Continental,Tepid,Eden
WET,Continental,Tepid,Harmonis
WET,Continental,Tepid,Harmony
WET,Continental,Tepid,Haven
WET,Continental,Tepid,Gaea
WET,Continental,Tepid,Halcyon
WET,Continental,Tepid,Veridian
WET,Continental,Tepid,Ephyra
WET,Continental,Tepid,Solara
WET,Continental,Tepid,Asana
WET,Continental,Tepid,Caledon
WET,Continental,Mushroom,Myrkr
WET,Continental,Mushroom,Iskera
WET,Continental,Mushroom,Soryth
WET,Continental,Mushroom,Karkaris
WET,Continental,Mushroom,Sarkosis
WET,Continental,Mushroom,Kibastea
WET,Continental,Mushroom,Kalypsis
WET,Continental,Mushroom,Vervain
WET,Continental,Sakura,Halea
WET,Continental,Sakura,Aurelia
WET,Continental,Sakura,Ephyra
WET,Continental,Sakura,Berylia
WET,Continental,Sakura,Solara
WET,Continental,Sakura,Vespera
WET,Continental,Sakura,Adara
WET,Continental,Sakura,Cassia
WET,Continental,Sakura,Selonia
WET,Continental,Moss,Verdant
WET,Continental,Moss,Sylvaris
WET,Continental,Moss,Veridian
WET,Continental,Moss,Myrkr
WET,Continental,Moss,Iskera
WET,Continental,Moss,Sylvan
WET,Continental,Moss,Vervain
WET,Continental,Moss,Alder
WET,Continental,Moss,Lochsa
WET,Continental,Marsh,Tigris
WET,Continental,Marsh,Estuary
WET,Continental,Marsh,Varuna
WET,Continental,Marsh,Iskera
WET,Continental,Marsh,Soryth
WET,Continental,Marsh,Maris
WET,Continental,Marsh,Cychia
WET,Continental,Marsh,Oura
WET,Continental,Marsh,Selonia
WET,Continental,Marsh,Currituck
WET,Continental,Marsh,Hatteras
WET,Continental,Carotene,Surtr
WET,Continental,Carotene,Phaeton
WET,Continental,Carotene,Pyr
WET,Continental,Carotene,Aurora
WET,Continental,Carotene,Solara
WET,Continental,Carotene,Electrion
WET,Continental,Carotene,Lucent
WET,Continental,Carotene,Vespera
WET,Continental,Carotene,Adara
WET,Continental,Petrified,Tarren
WET,Continental,Petrified,Kessel
WET,Continental,Petrified,Myrkr
WET,Continental,Petrified,Volund
WET,Continental,Petrified,Sarken
WET,Continental,Petrified,Karkaris
WET,Continental,Petrified,Karthakk
WET,Continental,Petrified,Rhenvar
WET,Continental,Megaflora,Verdant
WET,Continental,Megaflora,Lotus
WET,Continental,Megaflora,Sylvaris
WET,Continental,Megaflora,Harvest
WET,Continental,Megaflora,Veridian
WET,Continental,Megaflora,Tanalorr
WET,Continental,Megaflora,Iskera
WET,Continental,Megaflora,Sylvan
WET,Continental,Megaflora,Vervain
WET,Continental,Megaflora,Pinenia
WET,Continental,Megaflora,Genevah
WET,Ocean,Cascadian,Targea
WET,Ocean,Cascadian,Thalassa
WET,Ocean,Cascadian,Pelagos
WET,Ocean,Cascadian,Estuary
WET,Ocean,Cascadian,Seatos
WET,Ocean,Cascadian,Varuna
WET,Ocean,Cascadian,Ephyra
WET,Ocean,Cascadian,Kythera
WET,Ocean,Cascadian,Maris
WET,Ocean,Cascadian,Nereus
WET,Ocean,Cascadian,Oura
WET,Ocean,Cascadian,Selonia
WET,Ocean,Cascadian,Hatteras
WET,Ocean,Swamp,Tigris
WET,Ocean,Swamp,Estuary
WET,Ocean,Swamp,Varuna
WET,Ocean,Swamp,Iskera
WET,Ocean,Swamp,Soryth
WET,Ocean,Swamp,Myrkr
WET,Ocean,Swamp,Maris
WET,Ocean,Swamp,Cychia
WET,Ocean,Swamp,Oura
WET,Ocean,Swamp,Currituck
WET,Ocean,Swamp,Hatteras
WET,Ocean,Crag,Crait
WET,Ocean,Crag,Targea
WET,Ocean,Crag,Vardos
WET,Ocean,Crag,Seatos
WET,Ocean,Crag,Kessel
WET,Ocean,Crag,Kharon
WET,Ocean,Crag,Kydon
WET,Ocean,Crag,Xylos
WET,Ocean,Crag,Kettos
WET,Ocean,Crag,Karthakk
WET,Ocean,Fog,Myrkr
WET,Ocean,Fog,Soryth
WET,Ocean,Fog,Seatos
WET,Ocean,Fog,Nocturne
WET,Ocean,Fog,Wimeaux
WET,Ocean,Fog,Soriuq
WET,Ocean,Fog,Lochsa
WET,Ocean,Fog,Hatteras
WET,Ocean,Kelp,Thalassa
WET,Ocean,Kelp,Pelagos
WET,Ocean,Kelp,Varuna
WET,Ocean,Kelp,Seatos
WET,Ocean,Kelp,Maris
WET,Ocean,Kelp,Nereus
WET,Ocean,Kelp,Cychia
WET,Ocean,Kelp,Oura
WET,Ocean,Kelp,Selonia
WET,Ocean,Algae,Thalassa
WET,Ocean,Algae,Pelagos
WET,Ocean,Algae,Varuna
WET,Ocean,Algae,Maris
WET,Ocean,Algae,Cychia
WET,Ocean,Algae,Oura
WET,Ocean,Algae,Selonia
WET,Ocean,Columnar,Kessel
WET,Ocean,Columnar,Kharon
WET,Ocean,Columnar,Vardos
WET,Ocean,Columnar,Atlas
WET,Ocean,Columnar,Xylos
WET,Ocean,Columnar,Cruxos
WET,Ocean,Columnar,Karthakk
WET,Ocean,Tidepool,Estuary
WET,Ocean,Tidepool,Seatos
WET,Ocean,Tidepool,Ephyra
WET,Ocean,Tidepool,Kythera
WET,Ocean,Tidepool,Maris
WET,Ocean,Tidepool,Oura
WET,Ocean,Tidepool,Selonia
WET,Ocean,Tidepool,Hatteras
WET,Ocean,Barnacle,Kraken
WET,Ocean,Barnacle,Leviathan
