Species,Plural,Adjective
Elyran,Elyrans,Elyran
Vaelari,Vaelari,Vaelarian
Theryn,Theryns,Therynic
Aelari,Aelari,Aelarian
Caelari,Caelari,Caelarian
Ceryth,Ceryths,Cerythic
Elarin,Elarins,Elarin
Ilyari,Ilyari,Ilyarian
Kaelith,Kaeliths,Kaelithic
Kethari,Kethari,Ketharian
Maelari,Maelari,Maelarian
Rhaeli,Rhaeli,Rhaelian
Soryth,Soryths,Sorythic
Velyran,Velyrans,Velyran
Ithari,Ithari,Itharian
Xandari,Xandari,Xandarian
Aurelia,Aurelians,Aurelian
Cychian,Cychians,Cychian
Ephyran,Ephyrans,Ephyran
Halean,Haleans,Halean
Ilian,Ilians,Ilian
Kalyptan,Kalyptans,Kalyptan
Kessari,Kessari,Kessarian
Myrkari,Myrkari,Myrkarian
Noctari,Noctari,Noctarian
Sylvari,Sylvari,Sylvarian
Tanalori,Tanalori,Tanalorian
Thalassi,Thalassi,Thalassian
Vardari,Vardari,Vardarian
Veridi,Veridi,Veridian
